search_name,norm,naissances
Dimitry,dimitry,945.0
Akim,akim,945.0
Syrine,syrine,945.0
Maela,maela,940.0
Maimouna,maimouna,940.0
Ayman,ayman,930.0
Sihem,sihem,930.0
Nisrine,nisrine,930.0
Shaima,shaima,930.0
El,el,930.0
Riyad,riyad,930.0
Katell,katell,925.0
Hana,hana,925.0
Graziella,graziella,920.0
Moise,moise,920.0
Marlon,marlon,920.0
Thalia,thalia,920.0
Marie-Ange,marie-ange,920.0
Illona,illona,915.0
Yuna,yuna,915.0
Djamel,djamel,915.0
Albert,albert,915.0
Jean-Luc,jean-luc,915.0
Dalila,dalila,915.0
Raissa,raissa,910.0
Sibylle,sibylle,910.0
Jean-Louis,jean-louis,905.0
Octave,octave,905.0
Constantin,constantin,905.0
Milo,milo,905.0
Pierre-Jean,pierre-jean,905.0
Matys,matys,900.0
Francesca,francesca,900.0
Berangere,berangere,900.0
Wissam,wissam,900.0
Vanina,vanina,900.0
Margo,margo,895.0
Enes,enes,895.0
Malory,malory,895.0
Jihane,jihane,895.0
Tarek,tarek,895.0
Laurena,laurena,895.0
Meryem,meryem,895.0
Elies,elies,890.0
Melyssa,melyssa,890.0
Aleyna,aleyna,890.0
Shanna,shanna,885.0
Lynda,lynda,885.0
Wassila,wassila,885.0
Abdel,abdel,885.0
Luana,luana,885.0
Sydney,sydney,875.0
Duncan,duncan,875.0
Ayse,ayse,875.0
Gloria,gloria,875.0
Soizic,soizic,875.0
Alexi,alexi,875.0
Tomy,tomy,870.0
Laeticia,laeticia,870.0
Danae,danae,870.0
Thelma,thelma,870.0
Marilyne,marilyne,865.0
Mariama,mariama,865.0
Zineb,zineb,865.0
Nikita,nikita,860.0
Soumaya,soumaya,860.0
Wissem,wissem,860.0
Florie,florie,860.0
Khalil,khalil,860.0
Jefferson,jefferson,855.0
Bintou,bintou,855.0
Lauranne,lauranne,855.0
Ruddy,ruddy,855.0
Pierre-Marie,pierre-marie,855.0
Sakina,sakina,850.0
Judicael,judicael,850.0
Jean-Paul,jean-paul,850.0
Irina,irina,850.0
Safa,safa,850.0
Muriel,muriel,850.0
Alissa,alissa,850.0
Souad,souad,850.0
Arsene,arsene,850.0
Stan,stan,845.0
Robert,robert,845.0
Henry,henry,845.0
Colleen,colleen,845.0
Achraf,achraf,835.0
Albin,albin,835.0
Ousmane,ousmane,835.0
Aylin,aylin,835.0
Amelle,amelle,835.0
Ivana,ivana,830.0
Serge,serge,830.0
Harmony,harmony,830.0
Malcolm,malcolm,825.0
Melaine,melaine,825.0
Yazid,yazid,825.0
Hermine,hermine,820.0
Fatou,fatou,820.0
Vladimir,vladimir,820.0
Lory,lory,815.0
Leyla,leyla,815.0
Lucia,lucia,815.0
Priscille,priscille,815.0
Faiza,faiza,815.0
Amar,amar,815.0
Lancelot,lancelot,815.0
Solange,solange,810.0
Mouna,mouna,810.0
Fanta,fanta,810.0
Enguerrand,enguerrand,810.0
Igor,igor,810.0
Nabila,nabila,805.0
Doryan,doryan,805.0
Kenan,kenan,805.0
Donatien,donatien,805.0
Shaina,shaina,805.0
Sony,sony,800.0
Perle,perle,800.0
Kamelia,kamelia,800.0
Paula,paula,800.0
Deniz,deniz,800.0
Hakan,hakan,795.0
Malcom,malcom,795.0
Clarence,clarence,795.0
Neil,neil,795.0
Loise,loise,795.0
Maissane,maissane,795.0
Noël,noel,795.0
Nans,nans,795.0
Prescilla,prescilla,790.0
Heidi,heidi,790.0
Suzie,suzie,790.0
Barthelemy,barthelemy,790.0
Iliana,iliana,790.0
Solal,solal,785.0
Meddy,meddy,785.0
Chanel,chanel,785.0
Erwin,erwin,780.0
Amadou,amadou,780.0
Vanille,vanille,780.0
Melissandre,melissandre,775.0
Harold,harold,775.0
Elliott,elliott,775.0
Steffy,steffy,775.0
Soumia,soumia,775.0
Jim,jim,775.0
Fatiha,fatiha,775.0
Khalid,khalid,770.0
Typhanie,typhanie,770.0
Daphnee,daphnee,770.0
Zahra,zahra,770.0
Loup,loup,770.0
Daisy,daisy,765.0
Trystan,trystan,765.0
Norman,norman,765.0
Tao,tao,765.0
Riad,riad,765.0
Oumar,oumar,765.0
Murat,murat,765.0
Sindy,sindy,765.0
Felicie,felicie,760.0
Ricardo,ricardo,760.0
Kathy,kathy,760.0
Aissatou,aissatou,760.0
Viviane,viviane,755.0
Laurette,laurette,755.0
Zachary,zachary,755.0
Kelyan,kelyan,755.0
Julianne,julianne,755.0
Monia,monia,750.0
Maelie,maelie,750.0
Marie-Anne,marie-anne,750.0
Youssouf,youssouf,750.0
Kaina,kaina,750.0
Pacome,pacome,750.0
Nadine,nadine,750.0
Anthea,anthea,745.0
Emmeline,emmeline,745.0
Omer,omer,745.0
Aissa,aissa,745.0
Cherine,cherine,745.0
Louis-Marie,louis-marie,745.0
Maina,maina,745.0
Joëlle,joelle,745.0
Klara,klara,745.0
Ilhan,ilhan,745.0
Lohan,lohan,745.0
Houda,houda,745.0
Merlin,merlin,745.0
Marthe,marthe,740.0
Sanaa,sanaa,740.0
Ferdinand,ferdinand,740.0
Katy,katy,740.0
Alysson,alysson,740.0
Muhammed,muhammed,740.0
Léo-Paul,leo-paul,740.0
Youna,youna,740.0
Aissata,aissata,740.0
Jacky,jacky,735.0
Rozenn,rozenn,735.0
Lino,lino,730.0
Zeynep,zeynep,730.0
Glenn,glenn,730.0
Hasan,hasan,730.0
